No. Viaje;Fecha Viaje;Cliente;Conductor;Tipo Carga;Ruta;Tipo Vehiculo;Tipo Viaje;Regimen;Proceso
71773;02/01/2018;ADC;100;REF;15-17;3;PTP;FREIGHT;LOGISTIC
71840;09/01/2018;ADC;100;REF;15-17;3;PTP;FREIGHT;LOGISTIC
71877;16/01/2018;ADC;111;REF;15-17;3;PTP;FREIGHT;LOGISTIC
71918;23/01/2018;ADC;111;REF;15-17;3;PTP;FREIGHT;LOGISTIC
71968;02/02/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72016;09/02/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72033;15/02/2018;ADC;108;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72062;20/02/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72098;27/02/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72132;06/03/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72158;13/03/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72184;20/03/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72202;27/03/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72233;02/04/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72256;10/04/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72311;23/04/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72346;01/05/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72368;08/05/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72447;22/05/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72469;30/05/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72507;11/06/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72527;20/06/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72542;26/06/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72561;03/07/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72579;10/07/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72583;17/07/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72626;30/07/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72647;07/08/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72696;27/08/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72722;05/09/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72725;12/09/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72764;18/09/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72786;26/09/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72813;03/10/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72838;11/10/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72848;17/10/2018;ADC;105;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72866;26/10/2018;ADC;105;REF;15-17;3;PTP;FREIGHT;LOGISTIC
72891;05/11/2018;ADC;114;REF;15-17;3;PTP;FREIGHT;LOGISTIC
